canto_coding_id,soc_id,region,division,subregion,area_kingdom,culture,language,people,song,lat,lng,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37
3772,14477.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Nela Marrang Jaljal,18.75,81.78,0.38,0.15,0.46,0.54,0.31,0.77,0.77,1.0,0.54,0.54,0.85,0.38,0.46,0.38,0.69,0.38,0.77,0.62,0.08,1.0,1.0,0.08,0.77,0.69,0.77,0.69,1.0,0.38,1.0,0.54,1.0,0.31,0.77,0.54,0.54,0.31,0.54
3773,14477.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Punti Punti,18.75,81.78,0.69,0.08,0.08,0.77,0.54,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.38,0.77,0.69,0.08,0.77,0.54,0.08,0.31,0.85,0.31,1.0,1.0,0.69,1.0,0.54,0.54,0.77,0.62,0.77,0.77,0.77,0.77
3774,14477.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Nanai Nanai,18.75,81.78,0.38,0.08,0.08,0.88,0.54,0.54,0.08,0.08,0.08,0.77,0.46,0.38,0.08,0.08,0.69,0.85,0.77,1.0,0.08,0.54,0.77,0.23,0.54,0.69,0.54,0.69,1.0,0.38,0.54,0.77,0.54,0.54,0.62,0.31,0.31,0.54,0.54
3775,14477.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Oller Pata,18.75,81.78,0.46,0.08,0.08,0.54,0.77,0.54,0.08,0.08,0.08,0.77,0.85,0.23,0.08,0.08,0.69,0.38,0.88,0.62,0.31,0.31,1.0,0.08,0.77,0.69,0.77,1.0,1.0,0.38,0.54,0.77,1.0,0.42,0.77,1.0,1.0,0.54,0.54
3776,14477.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Oller Pata,18.75,81.78,0.46,0.92,0.85,0.54,0.77,0.77,0.54,0.54,0.31,0.54,0.46,0.23,0.46,0.54,0.69,0.46,0.77,0.38,0.69,0.54,1.0,0.08,0.77,0.69,0.42,1.0,1.0,0.69,1.0,0.54,1.0,0.42,0.77,1.0,1.0,0.54,0.54
3777,14477.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Ubranta Pata ,18.75,81.78,0.81,0.08,0.08,1.0,0.77,0.77,0.08,0.08,0.08,0.31,1.0,0.31,0.08,0.08,0.69,0.77,0.19,0.62,0.08,0.77,0.31,0.23,1.0,0.08,0.77,0.08,1.0,0.38,1.0,0.31,0.54,0.42,0.77,0.77,0.54,0.42,0.77
3778,14477.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Alora Aa,22.05,78.93,0.81,0.08,0.08,1.0,0.77,0.77,0.08,0.08,0.08,0.31,1.0,0.31,0.08,0.08,0.69,0.23,0.42,0.62,0.31,1.0,0.31,0.23,0.31,0.23,0.77,0.08,1.0,0.69,0.08,0.31,0.54,0.31,0.77,1.0,1.0,0.77,0.54
3779,14477.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Aloribe,18.75,81.78,0.46,0.08,0.08,0.77,0.77,0.54,0.08,0.08,0.08,0.31,0.85,0.23,0.08,0.08,0.69,0.92,0.77,0.85,0.31,0.77,0.31,0.08,0.54,0.69,0.77,0.38,1.0,0.69,0.54,0.31,0.54,0.31,0.77,0.77,0.77,0.42,0.77
3780,14477.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Aduyoi Ara,18.75,81.78,0.38,0.08,0.08,0.54,0.54,0.31,0.08,0.08,0.08,0.31,0.46,0.23,0.08,0.08,0.69,0.92,0.54,1.0,0.08,0.54,0.54,0.08,0.54,0.69,0.54,0.69,1.0,0.38,0.54,0.31,1.0,0.77,0.62,0.54,0.54,0.77,0.77
3781,14477.0,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Tama Karu Karu,18.75,81.78,0.38,0.08,0.08,0.77,0.77,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.92,0.54,1.0,0.31,0.54,0.54,0.08,0.54,0.85,0.54,0.69,1.0,0.69,1.0,0.54,1.0,0.54,0.62,0.0,0.0,0.54,0.31
