,Archival_source#,Area/Kingdom,Audio_file,Audio_notes,canto_coding_id,C_cid,Classification_notes,Culture,Culture_loc,Division,Duration,Genre,Instruments,Living_metadata,Local_lat,Local_long,Lyrics,Metadata_notes,People,Performers,Publcation_collection,Publisher,Recorded_by,Region,Repository,Song,Song_notes,Source Tag,Sources,Subregion,Year
4695,T1783.B1,Chhattisgarh,T5418R06,,3772,14477.0,,Dhurwa Gond,"Marenga, Bastar Province, Madhya Pradesh, India",India,0:02:53,,Male Voices; Staffs With Bells Beaten On Floor,,18.75,81.78,,,Gond,"Male chorus, staffs with bells beaten on floor","Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Dhurwa, #2",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Nela Marrang Jaljal,,@ANSI1953NelaMarrangJaljal,,C India/ Central Tribal Area,1953
4696,T1783.B2,Chhattisgarh,T5418R07,,3773,14477.0,,Dhurwa Gond,"Marenga, Bastar Province, Madhya Pradesh, India",India,0:02:29,Dance Song,Female Voices; Male Voice,,18.75,81.78,,,Gond,"Soft female voices, male solo","Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Dhurwa, #3",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Punti Punti,Gurgal dance,@ANSI1953PuntiPunti,,C India/ Central Tribal Area,1953
4697,T1783.B3,Chhattisgarh,T5418R08,Partial recording,3774,14477.0,,Dhurwa Gond,"Marenga, Bastar Province, Madhya Pradesh, India",India,0:03:49,Dance Song,Male Voice; Mixed Voices,,18.75,81.78,,,Gond,"Male leader, mixed chorus","Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Dhurwa, #4",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Nanai Nanai,"Gurgal dance song asking the ethnic groups of Bastar to live in harmony, recorded in part",@ANSI1953NanaiNanai,,C India/ Central Tribal Area,1953
4698,T1783.B4,Chhattisgarh,T5418R09,,3775,14477.0,,Dhurwa Gond,"Marenga, Bastar Province, Madhya Pradesh, India",India,0:01:16,Traveling Song,Female Voice; Female Voices,,18.75,81.78,,,Gond,"Female leader, female chorus","Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Dhurwa, #6",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Oller Pata,Song about the villages in Dhurwa passed on the way to Marenga,@ANSI1953OllerPata_1,,C India/ Central Tribal Area,1953
4699,T1783.B5,Chhattisgarh,T5418R10,,3776,14477.0,,Dhurwa Gond,"Marenga, Bastar Province, Madhya Pradesh, India",India,0:01:50,Traveling Song,Mixed Voices; Flute; Shaker With Metal Discs,,18.75,81.78,,,Gond,"Mixed voices, flute, shaker with metal discs","Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Dhurwa, #6",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Oller Pata,Song about the villages in Dhurwa passed on the way to Marenga,@ANSI1953OllerPata_2,,C India/ Central Tribal Area,1953
4700,T1783.B7,Chhattisgarh,T5418R11,,3777,14477.0,,Dhurwa Gond,"Marenga, Bastar Province, Madhya Pradesh, India",India,0:06:34,Dialogue Song,Children's Voices,,18.75,81.78,,,Gond,Mixed group of children,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Dhurwa, #8",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Ubranta Pata ,"Dialogue song, sung by boys and girls",@ANSI1953UbrantaPata,,C India/ Central Tribal Area,1953
4701,T1783.B8,Chhattisgarh,T5418R12,,3778,14477.0,,Dhurwa Gond,"Chhindwara, Bastar Province, Madhya Pradesh, India",India,0:06:34,Dialogue Song,Mixed Voices,,22.05,78.93,,,Gond,Mixed choir,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Dhurwa, #9",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Alora Aa,Dialogue song performed by men and women desiring to visit distant lands to gain experience and knowledge,@ANSI1953AloraAa,,C India/ Central Tribal Area,1953
4702,T1783.B9,Chhattisgarh,T5418R13,,3779,14477.0,,Dhurwa Gond,"Marenga, Bastar Province, Madhya Pradesh, India",India,0:04:47,Wedding Song; Lament,Female Voices,,18.75,81.78,,,Gond,Female choir,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Dhurwa, #10",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Aloribe,Marriage song performed by women for a sobbing bride asking if she cries for her loss of freedom,@ANSI1953Aloribe,,C India/ Central Tribal Area,1953
4703,T1783.B10,Chhattisgarh,T5418R14,,3780,14477.0,,Dhurwa Gond,"Marenga, Bastar Province, Madhya Pradesh, India",India,0:02:10,Wedding Song; Teasing Song; Girls' Song,Female Voices,,18.75,81.78,,,Gond,Female choir,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Dhurwa, #11",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Aduyoi Ara,Wedding song performed by girls teasing the bride on her wedding day,@ANSI1953AduyoiAra,,C India/ Central Tribal Area,1953
4704,T1783.B11,Chhattisgarh,T5418R15m,,3781,14477.0,,Dhurwa Gond,"Marenga, Bastar Province, Madhya Pradesh, India",India,0:01:27,Wedding Song; Girls' Song; Guest Song,Girls' Voices,,18.75,81.78,,,Gond,Group of girls,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Dhurwa, #12",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Tama Karu Karu,Wedding song performed by girls to guests before a blessing is given,@ANSI1953TamaKaruKaru,,C India/ Central Tribal Area,1953
